Scopus-68021-Analyze-Affiliation

"Your query : ((AFFILCITY(Thessaloniki) OR AFFILCITY(Kozani)OR TITLE-ABS-KEY(Athens)))"


Number of results : 68021

"AFFILIATION",
"Aristotle University of Thessaloniki","40753"
"University of Athens","3459"
"Aristotle University of Thessaloniki School of Medicine","2501"
"National Technical University of Athens","2180"
"Panepistimion Makedonias","2178"
"Center For Research And Technology - Hellas","1743"
"A.H.E.P.A. Hospital","1478"
"Panepistimio Thesalias","1421"
"Technological Education Institute of Thessaloniki","1399"
"Dimokrition Panepistimion Thrakis","1383"
"Hippokration General Hospital","1253"
"University of Athens Medical School","1184"
"Panepistimion Ioanninon","1054"
"Panepistimion Patron","1047"
"UCL","976"
"University of Western Macedonia","900"
"University of Manchester","883"
"University of Oxford","821"
"European Organization for Nuclear Research","809"
"University of Sheffield","800"
"Charles University in Prague","786"
"Universita degli Studi di Roma La Sapienza","786"
"University of Cambridge","777"
"Alma Mater Studiorum Universita di Bologna","776"
"University of Toronto","767"
"University of Belgrade","762"
"Ludwig-Maximilians-Universitat Munchen","758"
"University of Edinburgh","754"
"Universita degli Studi di Milano","751"
"University of Liverpool","749"
"Hellenic Agricultural Organization-Demeter","736"
"Uppsala Universitet","735"
"The University of British Columbia","723"
"Lunds Universitet","715"
"University of Birmingham","714"
"University of Glasgow","711"
"Universitat Heidelberg","705"
"Istituto Nazionale Di Fisica Nucleare, Frascati","703"
"Universitat Bern","701"
"University of Chicago","699"
"Theagenion Cancer Hospital","699"
"Universitat Freiburg im Breisgau","698"
"Queen Mary, University of London","697"
"Universita degli Studi di Napoli Federico II","695"
"Universitetet i Oslo","693"
"Julius-Maximilians-Universitat Wurzburg","691"
"The University of Sydney","691"
"Joint Institute for Nuclear Research, Dubna","690"
"University of Washington, Seattle","689"
"Michigan State University","689"
"Universitat Bonn","687"
"Columbia University in the City of New York","685"
"University of Melbourne","684"
"Universita di Pisa","683"
"Boston University","682"
"Universita degli Studi di Genova","682"
"Ohio State University","680"
"Tufts University","680"
"University of Ljubljana","678"
"University of Pennsylvania","674"
"McGill University","670"
"Universite de Geneve","669"
"Tel Aviv University","669"
"University of Arizona","669"
"Yale University","666"
"Universita degli Studi di Pavia","665"
"Justus Liebig University Giessen","661"
"Lancaster University","659"
"Universita degli Studi di Roma Tor Vergata","659"
"Iowa State University","658"
"Universitat de ValEncia","657"
"University of Amsterdam","656"
"Universitat Gottingen","656"
"Harvard University","655"
"Stockholms universitet","655"
"University of Alberta","655"
"University of Sussex","654"
"New York University","654"
"Humboldt-Universitat zu Berlin","652"
"Duke University","652"
"Johannes Gutenberg Universitat Mainz","651"
"UC Irvine","650"
"Universidade de Sao Paulo - USP","649"
"King's College London","649"
"Comenius University","648"
"University of Illinois","648"
"University of Pittsburgh","648"
"Chemical Process Engineering Research Institute","648"
"Universidad Autonoma de Madrid","648"
"Indiana University","647"
"Ankara Universitesi","646"
"The Royal Institute of Technology KTH","645"
"Max Planck Institut  fur Physik Werner-Heisenberg-Institut","645"
"University of Tokyo","644"
"Medizinische Universitat Innsbruck","643"
"Radboud University Nijmegen","642"
"Bogazici Universitesi","641"
"Horia Hulubei National Institute of Physics and Nuclear Engineering","641"
"Technische Universitat Dresden","641"
"Kyoto University","640"
"Osaka University","639"
"Universitetet i Bergen","639"
"Brookhaven National Laboratory","638"
"Universita del Salento","637"
"Stony Brook University","637"
"Tokyo Institute of Technology","636"
"IN2P3 Institut National de Physique Nucleaire et de Physique des Particules","634"
"Universidad de Granada","634"
"Universidade Federal do Rio de Janeiro","632"
"Universite de Montreal","632"
"Nagoya University","631"
"Lomonosov Moscow State University","631"
"Ceske vysoke uceni technicke v Praze","631"
"Technion - Israel Institute of Technology","631"
"Rutherford Appleton Laboratory","631"
"Universita della Calabria","630"
"Royal Holloway University of London","629"
"Argonne National Laboratory","629"
"York University","628"
"University at Albany State University of New York","627"
"University of Iowa","627"
"University of New Mexico","627"
"Carleton University","625"
"University Michigan Ann Arbor","625"
"Universitat Dortmund","625"
"Universidad de Buenos Aires","624"
"Waseda University","624"
"Laboratori Nazionali di Frascati di INFN","623"
"Akademia Gorniczo-Hutnicza im. Stanislawa Staszica w Krakowie","622"
"Weizmann Institute of Science Israel","622"
"Brandeis University","621"
"Niels Bohr Institute","621"
"Bergische Universitat Wuppertal","621"
"Universita degli Studi di Udine","621"
"University of Texas at Arlington","620"
"Simon Fraser University","620"
"University of Science and Technology of China","620"
"Universidad Nacional de La Plata","620"
"University of Oregon","619"
"Universita degli Studi Roma Tre","619"
"Universitat Siegen","619"
"Pontificia Universidad Catolica de Chile","619"
"High Energy Accelerator Research Organization, Tsukuba","618"
"Kobe University","617"
"Institute of Physics of the Academy of Sciences of the Czech Republic","617"
"B. I. Stepanov Institute of Physics","617"
"National Research Nuclear University MEPhI","617"
"University of Texas at Dallas","616"
"Papageorgiou General Hospital","616"
"Centre de Physique des Particules de Marseille","616"
"Okayama University","615"
"Laboratoire de l'Accelerateur Lineaire","615"
"University of Oklahoma","614"
"Nanjing University","614"
"Institut fiziki vysokikh energii","614"
"Yerevan Physics Institute","614"
"University of Victoria","613"
"Univerzita Palack&eacute;ho v Olomouci","613"
"Tokyo Metropolitan University","613"
"University of Tsukuba","613"
