Scopus-4444582-Analyze-Subject

"Your query : (AFFILCOUNTRY(United Kingdom))"


Number of results : 4444582

"SUBJECT AREA",
"Medicine","1580615"
"Biochemistry, Genetics and Molecular Biology","604044"
"Social Sciences","495716"
"Engineering","479441"
"Physics and Astronomy","444424"
"Agricultural and Biological Sciences","339135"
"Arts and Humanities","275277"
"Chemistry","275208"
"Computer Science","256722"
"Materials Science","240475"
"Mathematics","221701"
"Earth and Planetary Sciences","209941"
"Pharmacology, Toxicology and Pharmaceutics","207630"
"Environmental Science","191668"
"Immunology and Microbiology","191336"
"Neuroscience","157890"
"Psychology","142974"
"Business, Management and Accounting","115743"
"Chemical Engineering","103011"
"Nursing","87626"
"Economics, Econometrics and Finance","87432"
"Health Professions","65205"
"Energy","61191"
"Decision Sciences","56533"
"Multidisciplinary","51613"
"Veterinary","44040"
"Dentistry","28074"
"Undefined","12441"
