Scopus-6637-Analyze-Year

"Your query : (AFFILCITY(Thessaloniki) AND ( LIMIT-TO ( SUBJAREA,""COMP"" ) ) )"


Number of results : 6637

"YEAR",
"2017","118"
"2016","580"
"2015","603"
"2014","551"
"2013","474"
"2012","465"
"2011","432"
"2010","415"
"2009","401"
"2008","355"
"2007","355"
"2006","300"
"2005","231"
"2004","151"
"2003","192"
"2002","138"
"2001","136"
"2000","116"
"1999","88"
"1998","92"
"1997","91"
"1996","89"
"1995","53"
"1994","44"
"1993","38"
"1992","24"
"1991","12"
"1990","10"
"1989","11"
"1988","11"
"1987","11"
"1986","16"
"1985","7"
"1984","5"
"1983","6"
"1982","2"
"1981","6"
"1980","4"
"1979","2"
"1978","0"
"1977","0"
"1976","2"
